material;thickness_mm;sheet_width_mm;sheet_length_mm;total_quantity;is_remnant
S;3.0;2070.0;2800.0;5;False
S;6.0;2070.0;2800.0;1;False
S;8.0;2070.0;2800.0;2;False
S;10.0;2070.0;2800.0;1;False
S;12.0;2070.0;2800.0;8;False
S;16.0;2070.0;2800.0;12;False
S;19.0;2070.0;2800.0;3;False
S;22.0;2070.0;2800.0;2;False
L;16.0;2070.0;2800.0;3;False
V;16.0;2070.0;2800.0;2;False
L;19.0;2070.0;2800.0;3;False
V;19.0;2070.0;2800.0;3;False
S;10.0;60.0;1007.0;1;True
S;10.0;291.0;2238.0;1;True
S;10.0;344.0;1744.0;1;True
S;10.0;291.0;2064.0;1;True
S;10.0;344.0;1744.0;1;True
V;16.0;306.0;2058.0;1;True
V;16.0;306.0;1186.0;1;True
V;16.0;306.0;1186.0;1;True
V;16.0;306.0;1111.0;1;True
V;16.0;99.0;2788.0;1;True
V;16.0;514.0;2058.0;1;True
V;16.0;764.0;1244.0;1;True
V;16.0;380.0;2788.0;1;True
V;16.0;463.0;2058.0;1;True
V;16.0;463.0;1254.0;1;True
V;16.0;310.0;2788.0;1;True
L;16.0;423.0;2058.0;1;True
L;16.0;610.0;2058.0;1;True
L;16.0;610.0;1256.0;1;True
L;16.0;65.0;1256.0;1;True
L;16.0;166.0;2104.0;1;True
S;12.0;510.0;2058.0;1;True
S;12.0;510.0;1187.0;1;True
S;12.0;510.0;1201.0;1;True
S;12.0;510.0;1187.0;1;True
S;12.0;510.0;1127.0;1;True
S;12.0;90.0;1127.0;1;True
S;12.0;510.0;1275.0;1;True
S;12.0;510.0;1187.0;1;True
S;12.0;510.0;1201.0;1;True
S;12.0;510.0;1187.0;1;True
S;12.0;510.0;1127.0;1;True
S;12.0;272.0;2788.0;1;True
S;12.0;811.0;2204.0;1;True
S;12.0;90.0;1127.0;1;True
S;12.0;272.0;2204.0;1;True
S;16.0;61.0;2058.0;1;True
S;16.0;61.0;1064.0;1;True
S;16.0;62.0;2038.0;1;True
S;16.0;210.0;1999.0;1;True
S;16.0;234.0;1973.0;1;True
S;16.0;234.0;1899.0;1;True
S;16.0;1090.0;2014.0;1;True
S;16.0;1097.0;2034.0;1;True
S;16.0;182.0;1954.0;1;True
S;16.0;182.0;1850.0;1;True
S;16.0;182.0;1746.0;1;True
S;16.0;182.0;1521.0;1;True
S;16.0;182.0;1448.0;1;True
S;16.0;182.0;1594.0;1;True
S;16.0;182.0;1521.0;1;True
S;16.0;182.0;1448.0;1;True
S;16.0;88.0;1448.0;1;True
S;16.0;182.0;1668.0;1;True
S;16.0;182.0;1521.0;1;True
S;16.0;182.0;1448.0;1;True
S;16.0;182.0;1594.0;1;True
S;16.0;182.0;1521.0;1;True
S;16.0;182.0;1448.0;1;True
S;16.0;422.0;2536.0;1;True
S;16.0;1448.0;2202.0;1;True
S;19.0;810.0;1464.0;1;True
S;19.0;214.0;2058.0;1;True
S;19.0;514.0;1324.0;1;True
S;19.0;214.0;1108.0;1;True
S;19.0;386.0;1324.0;1;True
S;19.0;514.0;1838.0;1;True
S;19.0;214.0;1108.0;1;True
S;19.0;386.0;1838.0;1;True
S;19.0;214.0;1544.0;1;True
S;19.0;514.0;1324.0;1;True
S;19.0;214.0;1108.0;1;True
S;19.0;386.0;1324.0;1;True
S;19.0;514.0;2210.0;1;True
S;19.0;214.0;1108.0;1;True
S;19.0;386.0;2274.0;1;True
S;19.0;386.0;2788.0;1;True
S;3.0;109.0;1268.0;1;True
S;3.0;380.0;1262.0;1;True
S;3.0;380.0;1262.0;1;True
S;3.0;110.0;1268.0;1;True
S;3.0;313.0;1268.0;1;True
S;3.0;279.0;1268.0;1;True
S;3.0;110.0;1523.0;1;True
S;3.0;313.0;1523.0;1;True
S;3.0;279.0;1523.0;1;True
S;3.0;109.0;1268.0;1;True
S;3.0;110.0;1268.0;1;True
S;3.0;313.0;1268.0;1;True
S;3.0;279.0;1268.0;1;True
S;3.0;110.0;1666.0;1;True
S;3.0;313.0;1666.0;1;True
S;3.0;279.0;1666.0;1;True
S;3.0;313.0;1821.0;1;True
S;3.0;279.0;1821.0;1;True
S;3.0;313.0;1976.0;1;True
S;3.0;279.0;1976.0;1;True
S;3.0;313.0;2131.0;1;True
S;3.0;279.0;2131.0;1;True
S;3.0;279.0;2265.0;1;True
S;3.0;279.0;2399.0;1;True
S;3.0;279.0;2533.0;1;True
S;3.0;313.0;2131.0;1;True
S;3.0;279.0;2131.0;1;True
S;3.0;279.0;2265.0;1;True
S;3.0;279.0;2399.0;1;True
S;3.0;279.0;2788.0;1;True
S;3.0;279.0;1010.0;1;True
S;3.0;279.0;1265.0;1;True
L;19.0;684.0;2058.0;1;True
L;19.0;1685.0;2788.0;1;True
V;19.0;90.0;1574.0;1;True
V;19.0;90.0;1574.0;1;True
V;19.0;143.0;2788.0;1;True
V;19.0;706.0;2443.0;1;True
V;19.0;1574.0;2194.0;1;True
S;6.0;570.0;2058.0;1;True
S;6.0;586.0;1014.0;1;True
S;6.0;570.0;2036.0;1;True
S;6.0;586.0;1014.0;1;True
S;6.0;570.0;2014.0;1;True
S;6.0;592.0;1014.0;1;True
S;6.0;614.0;1014.0;1;True
S;6.0;570.0;1992.0;1;True
S;6.0;592.0;1014.0;1;True
S;6.0;1014.0;2788.0;1;True
S;6.0;1992.0;2174.0;1;True
S;8.0;1652.0;2058.0;1;True
S;8.0;996.0;1726.0;1;True
S;8.0;1652.0;1984.0;1;True
S;8.0;996.0;2714.0;1;True
S;8.0;922.0;2788.0;1;True
S;8.0;988.0;1984.0;1;True
S;8.0;922.0;1062.0;1;True
